Coin,Description,Rang,Prix,Prix - Devise,Capitalisation,Capitalisation boursière - Devise,Changement de prix % 24 heures,Performance % 1 semaine,Performance % 1 mois,Performance % 3 mois,Performance % 6 mois,Performance % Année écoulée,Performance % 1 année,Performance % 5 années,Performance % 10 années,Performance % Tout l'historique,Volatilité 1 jour,Catégorie,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile exponentielle (34) 4 heures,Moyenne mobile exponentielle (200) 4 heures,persum,persum_long,mrat2,mratlong,diff,difflong
MBG,MultiBank Group,299,2.1697,USD,190247791.4,USD,1.326297109,-3.761366157,33.74221784,294.3095267,294.3095267,294.3095267,294.3095267,294.3095267,294.3095267,294.3095267,0.764065756,"Échange centralisé, Actifs réels, Tokens d'échange",2.187833333,,2.199329404,,622.3612713,1177.238107,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PROVE,Succinct,195,1.1283,USD,220018500,USD,0.975653419,-14.66495235,12.84805569,12.84805569,12.84805569,12.84805569,12.84805569,12.84805569,12.84805569,12.84805569,7.469680265,,,,1.190355889,,38.54416707,51.39222276,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ATLA,Atleta Network,213,13.1365836,USD,5535104137,USD,,9.010565262,9.010565262,9.010565262,9.010565262,9.010565262,9.010565262,9.010565262,9.010565262,9.010565262,3.038257514,,,,,,27.03169579,36.04226105,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
UGOLD,UGOLD Inc.,208,3542.25,USD,11388599419,USD,0.056493186,-0.057839348,-0.765358292,0.309910829,0.309910829,0.309910829,0.309910829,0.309910829,0.309910829,0.309910829,0.075418403,,3539.574762,,3541.11441,,-0.145536635,1.239643315,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BFUSD,BFUSD,227,0.99864,USD,1697688100,USD,-0.043040027,-0.080999586,-0.080999586,-0.080999586,-0.080999586,-0.080999586,-0.080999586,-0.080999586,-0.080999586,-0.080999586,0.053077493,"Stablecoins, Stablecoins couverts par des actifs, Actifs réhypothéqués",,,,,-0.242998759,-0.323998345,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
USDF,Falcon USD,236,0.9813,USD,1222082579,USD,-1.456115686,-1.232952544,-1.012770593,-1.911197297,-1.911197297,-1.911197297,-1.911197297,-1.911197297,-1.911197297,-1.911197297,0.030571691,Stablecoins,0.989155238,,0.986582466,,-4.835165188,-7.644789189,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TROLL,TROLL (SOL),279,0.23185,USD,231613695.1,USD,15.40485528,37.74358365,1121.227285,1136.929151,17293.62021,17293.62021,17293.62021,17293.62021,17293.62021,17293.62021,7.044273167,Memes,0.174319667,,0.19066696,0.12896325,19551.77665,53017.78979,1.47845964,#DIV/0!,1.797798984,#DIV/0!
AETHWETH,Aave Ethereum WETH,209,4224.3,USD,10345038573,USD,-2.562623979,-7.092900501,12.70420183,58.46275039,76.96627448,76.96627448,76.96627448,76.96627448,76.96627448,76.96627448,2.630021542,"Asset Management, Actifs réhypothéqués",3872.309048,,4172.717086,3185.382728,148.1332267,289.3615738,1.309957842,#DIV/0!,1.326151474,#DIV/0!
ZORA,ZORA,169,0.084089,USD,272294814.2,USD,-7.565297687,-18.65241366,116.2115602,770.9373382,740.5537785,740.5537785,740.5537785,740.5537785,740.5537785,740.5537785,5.072463768,"NFTs & Collectibles, Social, médias et contenu",0.091073714,,0.094990196,0.07748888,1627.702677,2992.598674,1.225855843,#DIV/0!,1.085175063,#DIV/0!
STOC,STO CHAIN,259,0.14555,USD,424925138.8,USD,-2.065670838,-1.221581269,13.3302188,130.9809302,130.9809302,130.9809302,130.9809302,130.9809302,130.9809302,130.9809302,0.593348972,,0.137365238,,0.146623728,0.133219413,275.2920793,523.9237209,1.100618332,#DIV/0!,1.092558485,#DIV/0!
VSN,Vision,244,0.18135,USD,630768093.9,USD,-1.460845009,-12.46741964,24.05937885,39.5,39.5,39.5,39.5,39.5,39.5,39.5,2.464295715,,0.186462857,,0.18952493,0.173813773,103.0593788,158,1.090390744,#DIV/0!,1.043358052,#DIV/0!
M,MemeCore,122,0.45508,USD,473056145.1,USD,5.633704735,7.408718639,18.68659208,3866.616548,1123.260003,-77.24964006,-77.24964006,-77.24964006,-77.24964006,-77.24964006,5.250079788,"Memes, Niveau 1",0.45469381,,0.430142228,0.401963704,5008.563143,4835.377271,1.070102161,#DIV/0!,1.13214202,#DIV/0!
BERA,Berachain,170,2.1877,USD,270440906.4,USD,-5.343544479,-0.865506616,-10.67695574,-27.60275333,-70.82560977,-71.39342438,-71.39342438,-71.39342438,-71.39342438,-71.39342438,3.731656184,"DeFi, Niveau 1",2.07612381,,2.236290836,2.112658666,-109.1053188,-241.2152119,1.058519709,#DIV/0!,1.035519857,#DIV/0!
KTA,Keeta,254,1.1075,USD,451084585.6,USD,-3.862176705,-21.73697972,35.70973434,77.42142193,179.2827313,179.2827313,179.2827313,179.2827313,179.2827313,179.2827313,4.929044465,Niveau 1,1.259752857,,1.214204388,1.154542809,292.4138876,615.2696159,1.051675502,#DIV/0!,0.959254166,#DIV/0!
B,BUILDon,109,0.54957,USD,549570000,USD,-2.192599975,0.345092025,1.31256337,99.05465609,8226.868648,8226.868648,8226.868648,8226.868648,8226.868648,8226.868648,8.9156487,"Memes, Portefeuille financier World Liberty",0.552101429,,0.558236859,0.532950812,8327.235867,24779.6606,1.047445368,#DIV/0!,1.031183343,#DIV/0!
WHITE,WhiteRock,263,0.00052946,USD,344149000,USD,-6.064154425,-13.07502873,12.81668833,-7.717781574,327.6391245,252.2511832,252.2511832,252.2511832,252.2511832,252.2511832,5.259068339,"DeFi, Actifs réels",0.000526076,,0.000559078,0.000538907,332.7380312,824.4237093,1.037429478,#DIV/0!,0.982469784,#DIV/0!
IP,Story,53,5.7515,USD,1746140187,USD,-1.638306969,4.755573364,14.97251374,39.21767966,30.36924542,897.3400162,897.3400162,897.3400162,897.3400162,897.3400162,2.117350561,"Plateformes de smart contracts, Gestion des données & IA, Niveau 1, Made in America",5.980509524,,5.728542472,5.556964765,84.55943882,1864.266958,1.030876155,#DIV/0!,1.035007462,#DIV/0!
AICE,Aicean,270,3.1128,USD,280152000,USD,0.099688073,0.322289545,7.29353371,129.489826,508.9551265,6125.288736,6125.288736,6125.288736,6125.288736,6125.288736,6.113785265,"Social, médias et contenu, Web3",3.113095238,,3.098964297,3.02964376,645.7384862,12889.02242,1.022880755,#DIV/0!,1.027447531,#DIV/0!
OHM,Olympus v2,260,22.669,USD,355713977.8,USD,0.371911804,0.496519927,2.435607772,17.46813141,-0.449141556,-0.449141556,-0.449141556,-0.449141556,-0.449141556,-0.449141556,0.966463279,DeFi,22.57390476,,22.51884446,22.23096891,19.45459763,16.12070674,1.012949303,#DIV/0!,1.019703644,#DIV/0!
L1X,Layer One X,216,20.785,USD,4838612025,USD,0.473727462,5.464785874,8.159442161,-0.834923664,97.05157376,315.6334986,315.6334986,315.6334986,315.6334986,315.6334986,1.064450277,"Interopérabilité, Scaling, Web3, Niveau 1",19.73757143,,20.21706565,19.99585757,104.3760923,727.4836474,1.011062696,#DIV/0!,1.039465296,#DIV/0!
USELESS,Useless Coin,186,0.22927,USD,229063955.2,USD,-9.095594941,-9.167624104,-31.46913765,1074.093236,330832.448,330832.448,330832.448,330832.448,330832.448,330832.448,10.98824188,Memes,0.248698095,,0.264685458,0.262528448,331875.0721,993571.4373,1.00821629,#DIV/0!,0.87331488,#DIV/0!
WAL,Walrus,108,0.40388,USD,570901208.5,USD,-6.427694233,-6.989383506,-16.6019658,-26.76168716,188.4597529,188.4597529,188.4597529,188.4597529,188.4597529,188.4597529,2.669527469,"Computing dématérialisé & stockage, DePIN",0.412948095,,0.425335639,0.425442574,145.0960999,538.6175716,0.99974865,#DIV/0!,0.94931731,#DIV/0!
USD1,World Liberty Financial USD,43,0.99908,USD,2398212334,USD,-0.041020921,-0.111977604,-0.151908855,-0.121963411,24.89124456,24.89124456,24.89124456,24.89124456,24.89124456,24.89124456,0.051051051,"Stablecoins, Made in America, Portefeuille financier World Liberty",0.999764286,,0.999562922,0.999882831,24.6173723,74.55177028,0.999680053,#DIV/0!,0.999197075,#DIV/0!
EBTC,ether.fi Staked BTC,262,113251.63,USD,345363689.6,USD,-0.667400212,-4.29060116,-5.537357915,5.754502929,17.62867535,18.74699941,18.74699941,18.74699941,18.74699941,18.74699941,0.982701858,Actifs réhypothéqués,116305.5329,,114806.3321,115984.3858,17.84582036,60.87717711,0.989842997,#DIV/0!,0.976438589,#DIV/0!
KULA,KULA,274,0.39703,USD,262836331.9,USD,-0.42885088,-2.06704324,-7.417684917,31.43207097,1034.462186,1034.462186,1034.462186,1034.462186,1034.462186,1034.462186,0.070541405,"Énergie, DAO, Actifs réels",0.40945,,0.400190558,0.404705492,1058.476572,3134.818628,0.988843903,#DIV/0!,0.981034376,#DIV/0!
LION,Loaded Lions,250,0.016776,USD,517459422.2,USD,0.750660581,-12.09390065,-12.84289277,-27.07038212,232.6393433,232.6393433,232.6393433,232.6393433,232.6393433,232.6393433,4.760419266,"Memes, Gaming, NFTs & Collectibles",0.018423476,,0.01720991,0.018424154,192.7260684,670.8476477,0.934095014,#DIV/0!,0.910543844,#DIV/0!
SVTS,Syncvault,271,0.27319,USD,273190000,USD,-1.189959491,-4.934405122,-19.65236317,-22.22348754,-9.722084531,-8.922094202,-8.922094202,-8.922094202,-8.922094202,-8.922094202,0.889509667,"Social, médias et contenu, Fidélisation & récompenses",0.288060952,,0.278889445,0.30056977,-51.59793524,-49.78976048,0.927869245,#DIV/0!,0.908907108,#DIV/0!
PI,PI,39,0.36088,USD,2847762269,USD,-1.61048178,-5.518902503,-26.47406381,-52.21714664,-71.97178616,18.13173908,18.13173908,18.13173908,18.13173908,18.13173908,4.3694113,Niveau 1,0.373410952,,0.362918619,0.402129967,-150.6629966,-87.92545464,0.902490859,#DIV/0!,0.897421306,#DIV/0!
PUMP,Pump.fun,76,0.0028478,USD,1008121200,USD,-4.98713966,-20.82186449,-25.37407301,-28.805,-28.805,-28.805,-28.805,-28.805,-28.805,-28.805,3.043931925,,0.003286924,,0.003081492,0.003429081,-82.98407301,-115.22,0.898634949,#DIV/0!,0.830484883,#DIV/0!
KAITO,KAITO,175,1.0811,USD,260965527.9,USD,-2.559250248,-0.046227811,-35.61048243,-43.32075076,-29.88665166,-9.899323266,-9.899323266,-9.899323266,-9.899323266,-9.899323266,2.158544632,"Gestion des données & IA, Social, médias et contenu",1.135252381,,1.088215801,1.22722146,-108.8178849,-93.00604896,0.886731398,#DIV/0!,0.880933096,#DIV/0!
VMC,VMS Classic,200,386.42,USD,77284000000,USD,3.224255376,39.93151073,-36.81911518,-36.81911518,-84.62550945,93.25444852,93.25444852,93.25444852,93.25444852,93.25444852,3.167577656,,230.1846763,,347.2469904,587.1421755,-158.2637398,65.06427241,0.591418918,#DIV/0!,0.658137017,#DIV/0!
AIX,Ai Xovia,240,9.851,USD,699421000,USD,-17.69398724,29.77551773,-18.26659808,,,196920,,39304,39304,39304,7.802531116,,13.10497143,2.0113585,10.79866301,9.873454439,-18.26659808,196920,1.093706673,6.515482659,0.997725777,4.897684823
DORA,DORA,268,0.28703,USD,287030000,USD,-5.897973903,-15.13511915,1252.043917,872.7495909,1081.122451,246.5018022,363.5412074,-89.05782752,-89.05782752,-89.05782752,9.961841959,Memes,0.230036997,0.045797568,0.291804108,0.183541926,3205.915959,2563.915052,1.589849872,5.022908573,1.563838876,6.267363374
REKT,Rekt,283,8.71E-07,USD,222784016.5,USD,-5.965927493,-17.87667358,39.08849925,198.7583179,1135.706381,354.0933616,1518.862442,1518.862442,1518.862442,1518.862442,2.10733778,Memes,1.1053E-06,3.10E-07,9.60E-07,9.57E-07,1373.553199,3207.420503,1.003962885,3.560991281,0.91044572,2.806146834
SMART,SMART,201,0.0055471,USD,49923956580,USD,2.792602476,-34.45623405,24.99380338,485.4829857,188.2359054,143.4860855,130.9944199,1329.664948,1329.664948,1329.664948,6.858115213,Plateformes de smart contracts,0.006563333,0.002656596,0.006361664,0.00597841,698.7126945,948.1993966,1.064106392,2.470579867,0.927855415,2.088047778
PENGU,Pudgy Penguins,49,0.03119,USD,1960615754,USD,-1.679427797,-5.753308757,-26.19323694,142.4972788,249.3894926,-6.263148404,-40.03482172,-40.03482172,-40.03482172,-40.03482172,4.912372998,"Memes, NFTs & Collectibles, Made in America, Mèmes animaliers",0.034524619,0.014875352,0.031646062,0.032802743,365.6935344,345.5888012,0.964738295,2.320927949,0.95083513,2.096757176
SAROS,Saros,255,0.38264,USD,446218009.1,USD,-0.87817009,-2.110568191,11.93540838,133.6019536,2662.743682,2450.253266,26018.77133,5123.041223,5123.041223,5123.041223,2.13931783,"Échange décentralisé, DeFi",0.384642381,0.170249503,0.387916671,0.361776353,2808.281044,31265.37023,1.072255463,2.259286373,1.057670013,2.247524923
ZBCN,Zebec Network,137,0.0044725,USD,406649080.4,USD,-1.826002985,-2.965807515,8.041839791,52.07412445,140.3277808,400.7557521,361.6535921,123.5691077,123.5691077,123.5691077,3.376081932,"Paiements, DeFi, DePIN, Made in America, Actifs réels",0.004941052,0.002667398,0.004521757,0.004568783,200.443745,954.8112494,0.989707027,1.852386869,0.978925823,1.676727877
CFX,Conflux,85,0.17507,USD,897815787.3,USD,-4.362544363,-1.822566173,0.080032013,95.70733889,43.52352845,12.11655459,19.8212489,-86.89594622,-86.89594622,-86.89594622,3.172574085,"Plateformes de smart contracts, Interopérabilité, DeFi, Web3",0.194152857,0.10588856,0.178163799,0.177493715,139.3108993,171.1686708,1.003775259,1.833558386,0.986344786,1.653341966
SISC,Shirushi Coin,278,1.1979,USD,239580000,USD,0.39389876,0.833333333,24.76565429,138.7586702,160.3960611,254.4187698,339.0324354,325.6324616,325.6324616,325.6324616,0.358961516,,1.172409524,0.67843975,1.191644066,1.110237466,323.9203856,892.6059365,1.073323593,1.728096745,1.078958364,1.765668948
QUBIC,QUBIC,265,2.5271E-06,USD,314297482.5,USD,-8.071244604,-19.17676784,14.78991597,94.49703687,66.12542729,-13.41965695,43.43598946,-74.73051617,-74.73051617,-74.73051617,6.149893621,"Gestion des données & IA, Niveau 1",2.68168E-06,1.5696E-06,2.7805E-06,2.49514E-06,175.4123801,190.6387967,1.114369946,1.708515649,1.012810605,1.610031161
ENA,Ethena,32,0.66219,USD,4384939406,USD,2.965047578,-7.524404039,30.20114434,78.74321807,47.93905409,-27.07640464,117.9303648,26.65621473,26.65621473,26.65621473,5.39220366,"DeFi, Portefeuille financier World Liberty",0.677997619,0.4008457,0.665957118,0.617050359,156.8834165,217.5362324,1.079258943,1.691417967,1.073153901,1.651982296
BZR,Bazaars,246,52.101,USD,597725758,USD,0.628237841,-4.56468778,-0.703259005,71.12592787,204.097356,152.378415,625.3376027,2794.5,2794.5,2794.5,2.854604679,Marketplace,52.33895238,31.059935,51.7334768,50.69701647,274.5200248,1052.939302,1.020444208,1.685095361,1.027693612,1.67743429
OKB,OKB,27,227.31,USD,4773510000,USD,19.79687418,132.9473253,367.9375013,335.5181729,359.5649185,363.292842,501.4294019,4188.867925,6877.193898,6877.193898,19.40809249,"Échange centralisé, Niveau 1, Tokens d'échange",90.71004762,54.158655,156.1488542,84.00050656,1063.020593,1559.805335,1.858903721,1.674894763,2.70605511,4.197113093
SPX,SPX6900,70,1.2983,USD,1208708329,USD,-2.368599143,-13.67112175,-34.71614623,52.02042083,77.16492454,49.30539583,1631.297506,1631.297506,1631.297506,1631.297506,2.924298404,Memes,1.595661905,0.97008965,1.386093218,1.604714225,94.46919914,1809.788248,0.863763277,1.644860251,0.809053712,1.338329916
AERO,Aerodrome Finance,71,1.3624,USD,1207256040,USD,0.612953253,3.73867357,38.89143754,126.4966501,71.66473464,3.707086854,109.8239823,1037.228715,1037.228715,1037.228715,14.8531012,"Échange décentralisé, DeFi, Made in America",1.1401,0.70525195,1.321014399,1.08348024,237.0528223,311.6924539,1.219232571,1.616585392,1.257429484,1.931791894
EZETH,Renzo Restaked ETH,234,4569.98,USD,1303105554,USD,0.518777638,-4.677100085,16.27708161,72.76827401,59.51342955,33.12185218,70.98099371,36.62653556,36.62653556,36.62653556,2.577850594,"Produits dérivés, Actifs réhypothéqués",4369.72381,2715.7516,4536.641708,4162.247555,148.5587852,236.3845495,1.089949996,1.609029268,1.097959681,1.682768041
WBETH,Wrapped Beacon ETH,206,4673.52,USD,13853056273,USD,0.678661378,-4.433443142,16.28506452,72.93512971,59.27151528,32.64986376,69.75913811,165.5741059,165.5741059,165.5741059,2.887778431,"Produits dérivés, Actifs réhypothéqués",4459.131429,2774.25725,4630.117199,4248.553015,148.4917095,234.6156469,1.089810386,1.607324421,1.100026287,1.684602248
WSTETH,Lido wstETH,203,5242.05,USD,17368590776,USD,0.590060561,-4.630350619,16.16345163,72.52154853,58.87744247,32.26711546,69.48930598,196.2045272,196.2045272,196.2045272,2.68515272,"Produits dérivés, Actifs réhypothéqués",5010.681429,3118.8241,5198.957252,4773.763599,147.5624426,233.1554124,1.089068854,1.606593148,1.098095851,1.680777701
SFRXETH,Frax Staked Ether,258,4871.74,USD,433157048.7,USD,0.435558214,-4.928673185,15.64247667,71.89603828,58.18673005,32.10136989,69.23285349,33.66238569,33.66238569,33.66238569,2.351349421,"Produits dérivés, Actifs réhypothéqués",4669.650476,2907.60875,4842.972443,4448.946411,145.725245,231.4169917,1.088566145,1.606010601,1.095032295,1.675514286
METH,Mantle Staked Ether,235,4650.11,USD,1299672574,USD,1.045789686,-4.112151074,16.03373632,72.71758186,59.23071128,32.45233253,69.89247705,111.3090856,111.3090856,111.3090856,2.82712626,"Produits dérivés, Actifs réhypothéqués",4438.77,2764.51185,4606.260601,4229.98675,147.9820295,234.2931027,1.088953908,1.605625239,1.099320228,1.682072732
RSETH,Kelp DAO Restaked ETH,226,4517.16,USD,1828732969,USD,0.29240675,-5.175587935,16.34878156,71.2466023,57.72151634,31.26509263,68.33153841,20,20,20,2.153776572,"Produits dérivés, Actifs réhypothéqués",4337.518571,2702.6648,4500.155756,4131.511521,145.3169002,228.5647497,1.08922745,1.604904379,1.093343194,1.671372639
CMETH,Mantle Restaked Ether,243,4649.93,USD,641875053.8,USD,0.664177085,-4.69306606,15.89881507,72.53722593,60.41598388,32.5049512,93.74304702,93.74304702,93.74304702,93.74304702,3.140272894,"Produits dérivés, Actifs réhypothéqués",4431.879524,2762.2205,4608.719767,4221.579595,148.8520249,259.201208,1.091705051,1.604462614,1.101466855,1.6834029
WEETH,Wrapped eETH,207,4615.01,USD,11781096307,USD,0.0856636,-5.442523931,15.54886217,71.70213558,57.29789054,24.06241011,67.93325214,25.85153102,25.85153102,25.85153102,2.771578992,"Vie privée, Wrapped Tokens, DeFi, Actifs réhypothéqués",4433.754762,2764.70835,4600.294157,4226.266984,144.5488883,220.9956884,1.088500602,1.6036971,1.091982598,1.669257446
RETH,Rocket Pool ETH,221,4928.66,USD,2028451490,USD,0.521920029,-4.584850614,15.56006771,71.68903643,57.99012694,31.73480161,67.95798886,103.4509377,103.4509377,103.4509377,2.618948508,"Produits dérivés, Actifs réhypothéqués",4716.522857,2941.17465,4893.910648,4496.233728,145.2392311,229.3719538,1.088446674,1.603618764,1.096175221,1.675745437
CBETH,Coinbase Wrapped Staked ETH,245,4780.05,USD,623467822.9,USD,0.748683165,-4.403970994,15.60870491,72.07422873,58.53124658,32.22309509,68.91053842,190.2276867,190.2276867,190.2276867,2.878417785,"Produits dérivés, Actifs réhypothéqués",4565.752857,2848.5541,4735.831871,4353.175859,146.2141802,231.7391088,1.087902723,1.602831716,1.098060394,1.678061863
LSETH,Liquid Staked ETH,228,4699.99,USD,1584433342,USD,3.391724614,-5.163552863,16.51173053,68.67001615,57.14405125,31.41605292,70.34689225,202.6374589,202.6374589,202.6374589,4.069387487,"Produits dérivés, Actifs réhypothéqués",4487.9,2800.52935,4667.725383,4273.51719,142.3257979,227.5770126,1.092244438,1.602518467,1.099794336,1.678250578
ETH,Ethereum,2,4340.79,USD,5.23966E+11,USD,0.714221095,-4.569287895,15.81956781,71.76485951,57.1736344,30.30201151,64.99635098,1019.070361,355612.0732,144593,2.864472908,"Plateformes de smart contracts, Niveau 1, Portefeuille financier World Liberty",4146.891905,2594.21085,4303.051224,3952.755973,144.7580617,224.2368564,1.08862051,1.598517678,1.098167969,1.67326029
STETH,Lido Staked ETH,202,4329.97,USD,38228863587,USD,0.686777726,-4.579552116,16.00536897,71.45272544,57.2601675,30.03069106,64.65883684,287.3099216,287.3099216,287.3099216,2.833965795,"Produits dérivés, DeFi, Actifs réhypothéqués, Portefeuille financier World Liberty",4138.410952,2591.32655,4292.26557,3944.741884,144.7182619,223.4024208,1.088097953,1.5970241,1.097656102,1.670947261
FRXETH,Frax Finance - Frax Ether,281,4306.57,USD,224678838.7,USD,0.4647701,-4.826761665,15.3605276,70.44517268,56.02666522,29.40181367,63.81081708,26.84737915,26.84737915,26.84737915,2.411317497,"Produits dérivés, DeFi",4130.489048,2588.70405,4282.966179,3937.48374,141.8323655,219.6844686,1.087741934,1.595581792,1.09373658,1.66360075
BETH,Beacon ETH,257,4320.24,USD,436227593.5,USD,0.693403691,-4.670026567,15.78625758,72.33602062,56.50038217,29.86290005,64.22646788,46.07002181,46.07002181,46.07002181,3.296119212,Actifs réhypothéqués,4131.449048,2589.92635,4281.171205,3935.828467,144.6226604,222.9257707,1.08774334,1.595199434,1.097669788,1.668093766
WETH,WETH,204,4291.16,USD,14484027841,USD,-0.075217385,-4.904830814,14.88926491,70.64709064,55.03809871,29.33244523,64.2234979,146.4144616,146.4144616,146.4144616,2.078323069,"Vie privée, Wrapped Tokens, DePIN, Actifs réhypothéqués",4135.372857,2592.74795,4292.380026,3945.14605,140.5744543,219.2411325,1.088015493,1.594976811,1.087706246,1.655062537
FORM,Four,64,3.561,USD,1359829296,USD,0.160315005,-6.407695542,-0.176604154,24.11125052,206.9298397,788.7391435,116.1719177,-46.00228493,-46.00228493,-46.00228493,1.946074007,Gaming,3.775852381,2.38160685,3.640232462,3.626067605,230.8644861,1135.952151,1.003906396,1.585422204,0.982055601,1.495209001
CRO,Cronos,29,0.14593,USD,4899443268,USD,1.164644714,-5.252564602,16.27888446,53.85345282,70.40531546,3.525822928,68.08749534,-12.53721723,638.2005773,638.2005773,3.919197667,"Plateformes de smart contracts, Échange centralisé, Paiements, Niveau 1, Tokens d'échange",0.14875619,0.09993975,0.145823694,0.140378059,140.5376527,195.8720865,1.038792636,1.488458701,1.03954992,1.460179758
SYRUP,Maple Finance,118,0.40997,USD,489707355,USD,-1.349953076,-4.832981267,-7.338848205,6.083423899,202.4492807,162.5917473,104.985,104.985,104.985,104.985,2.569033531,"DeFi, DAO, Actifs réels",0.449140952,0.30183722,0.419131037,0.454710852,201.1938564,476.1094519,0.921752878,1.488023751,0.901605928,1.358248661
HYPE,Hyperliquid,12,41.956,USD,14010290720,USD,0.002384529,-7.797116737,-9.343128781,26.96241603,68.93899738,75.02085767,256.959936,256.959936,256.959936,256.959936,3.967350977,"Échange décentralisé, Produits dérivés, Niveau 1, Tokens d'échange",42.49938095,28.897605,42.87702967,42.87831659,86.55828463,427.8822071,0.999969987,1.470688694,0.978489907,1.451885026
CVX,Convex Finance,139,4.0215,USD,398781683.5,USD,-0.131644312,-2.909222598,-16.64248404,18.9054138,47.63757847,-10.60949587,70.22322231,-29.73214726,-29.73214726,-29.73214726,2.814615716,DeFi,4.243809524,2.9092845,4.038286334,4.169982549,49.90050823,126.1567187,0.968418042,1.458712451,0.964392525,1.382298637
