Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perfsum,mrat
CRCL,"Circle Internet Group, Inc.",131.8,USD,NYSE,-4.361076845,30502201569,USD,,0,91.01449275,91.01449275,91.01449275,91.01449275,-36.49722958,161.9014286,,180.5748,,-5.8711615,15.54253929,,,273.0434783,#DIV/0!
CRWV,"CoreWeave, Inc.",90.79,USD,NASDAQ,-0.79763986,44357486547,USD,,0,132.7948718,132.7948718,132.7948718,-7.357142857,-27.90152869,111.0611905,,134.0458,20.380999,0.3994345,11.08884455,,,258.2326007,#DIV/0!
CAI,"Caris Life Sciences, Inc.",38.12,USD,NASDAQ,8.69689193,10720263196,USD,,0,41.18518519,41.18518519,41.18518519,41.18518519,34.55700671,31.56285714,,,,0.6251811,2.667410447,,,123.5555556,#DIV/0!
SFD,"Smithfield Foods, Inc.",25.71,USD,NASDAQ,0.468933177,10106927978,USD,,0,22.13776722,22.13776722,21.84834123,12.71372205,9.45083014,24.92904762,,24.2317,0.4100652,0.45252833,0.607136413,,,56.6998305,#DIV/0!
CFG/PI,"Citizens Financial Group, Inc. Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.500% Fixed-Rate Reset Non-Cumulative Perpetual Preferred S",25.21,USD,NYSE,0.03968254,20903172098,USD,7.687381838,3.44191764,-0.039651071,-0.039651071,-0.039651071,-0.039651071,-0.039651071,25.10059048,,,0.7694841,0.35178182,0.100663668,6.48432886,1.862975779,-0.118953212,#DIV/0!
SAIL,"SailPoint, Inc.",19.51,USD,NASDAQ,-0.408371618,10859048926,USD,,0,-15.17391304,-15.17391304,-20.30228758,15.92394534,-5.657640232,20.18285714,,21.2468,3.1811259,1.4657593,1.012929708,,,-19.55225529,#DIV/0!
AMRZ,AMRIZE N,39.78,CHF,SIX,0.353178607,27327265198,USD,,0,-13.52173913,-13.52173913,-13.52173913,-13.52173913,0.252016129,40.38380952,,,,-0.23207264,1.163135873,,,-40.56521739,#DIV/0!
FIG,FIGMA INC,72.76,USD,NYSE,-1.728795246,35467654284,USD,,0,-14.4,-14.4,-14.4,-14.4,-14.4,,,,,,13.18380397,,,-43.2,#DIV/0!
VG,"Venture Global, Inc.",12.77,USD,NYSE,1.671974522,31004881411,USD,24.0037594,0,-46.9022869,-46.9022869,-23.89749702,17.69585253,-14.86666667,13.78904762,,15.3074,6.5292563,1.2836488,0.875277342,,,-53.10393139,#DIV/0!
BLSH,Bullish,69.8,USD,NYSE,10.98743838,10203625750,USD,,0,-22.44444444,-22.44444444,-22.44444444,-22.44444444,-22.44444444,,,,,,,,,-67.33333333,#DIV/0!
MP,MP Materials Corp.,68.28,USD,NYSE,0.161361303,12092272553,USD,,0,473.7815126,442.3351867,177.8998779,247.6578411,16.61827498,68.2552381,29.654,52.4036,2.3015716,0.2343581,4.70262206,-9.565821282,-6.691274703,867.8929057,2.30172112
JOBY,"Joby Aviation, Inc.",14.45,USD,NYSE,-1.83423913,12368932603,USD,,0,32.56880734,182.778865,91.01123596,122.3076923,-10.69221261,17.14071429,8.861575,13.9073,2.5204794,1.9388101,1.263379686,-88.93364628,-57.05025326,396.0977932,1.934274019
QNBTR,QNB BANK,714.5,TRY,BIST,-9.955891619,57397932683,USD,58.89674728,0,897.9050558,182.4110672,179.9216454,171.4150047,96.83195592,574.5714286,309.5385,396.95,0.8892338,-0.26504076,52.69265377,34.13058153,10.7732655,533.7477174,1.856219593
HOOD,"Robinhood Markets, Inc.",106.3,USD,NASDAQ,0.911334726,94466167020,USD,53.99227956,0,179.7368421,438.7734415,83.6875756,69.13285601,2.497348375,107.8395238,59.2347,97.6804,2.3687654,3.1019938,6.071246045,23.53560616,,591.5938731,1.820546467
KTOS,"Kratos Defense & Security Solutions, Inc.",64.78,USD,NASDAQ,0.793527307,10934507156,USD,695.0643777,0,240.5888538,209.3600764,139.6596374,85.08571429,16.04120018,62.46761905,36.318775,53.5562,1.0475326,1.4267536,3.598879677,0.881646551,1.21376626,434.1054281,1.719981443
NBIS,Nebius Group N.V.,66.18,USD,NASDAQ,-1.911960871,15772257789,USD,,0,2.06662554,176.4411028,45.51451187,82.81767956,26.90316395,61.55142857,36.1949,54.9042,1.1194519,2.3301551,4.724726857,4.945183687,-10.30335628,304.7732942,1.700555287
