period_start,period_end,period_rank,ticker,name,perf_12m_pct,perf_6m_pct,perf_3m_pct,score_total
2024-09-01,2025-08-01,1,TOI,"The Oncology Institute, Inc.",964.2202149248758,205.26316339839755,69.75610243997579,1239.2394807632493
2024-09-01,2025-08-01,2,OKLO,Oklo Inc.,862.7935466074423,260.1017217371353,39.114122262304136,1162.0093906068817
2024-09-01,2025-08-01,3,FNMA,Federal National Mortgage Association,852.5423958259776,77.84809281363417,17.81970457088904,948.2101932105007
2024-09-01,2025-08-01,4,BE,Bloom Energy Corporation,418.9393660937908,178.7385537252382,129.09698604629355,726.7749058653226
2024-09-01,2025-08-01,5,MP,MP Materials Corp.,316.430603901171,201.10610593794124,120.91974448064222,638.4564543197545
2024-09-01,2025-08-01,6,CRDO,Credo Technology Group Holding Ltd,327.9870473685091,228.2370712775617,42.369599889782066,598.5937185358529
2024-09-01,2025-08-01,7,RKLB,Rocket Lab Corporation,392.39467730129564,167.9530318577374,33.93905293342964,594.2867620924626
2024-09-01,2025-08-01,8,ALAB,"Astera Labs, Inc.",261.04217617887184,216.9934635508766,109.19044207794269,587.2260818076911
2024-09-01,2025-08-01,9,CLS,Celestica Inc.,315.3560372995614,169.42013501928017,36.013068349815384,520.7892406686569
2024-09-01,2025-08-01,10,HOOD,"Robinhood Markets, Inc.",342.74125577976713,149.13504349460737,10.744425379785048,502.6207246541596
