Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perfsum,mrat,perf_sum,perf_norm,MRAT,Diff,score
MP,MP Materials Corp.,68.28,USD,NYSE,0.16,12092272553.0,USD,,0.0,473.78,442.34,177.9,247.66,16.62,68.26,29.65,52.4,2.3,0.23,4.7,-9.57,-6.69,867.89,2.30172112,867.89,1.87,2.3,2.3,4.17
HOOD,"Robinhood Markets, Inc.",106.3,USD,NASDAQ,0.91,94466167020.0,USD,53.99,0.0,179.74,438.77,83.69,69.13,2.5,107.84,59.23,97.68,2.37,3.1,6.07,23.54,,591.59,1.820546467,591.59,1.59,1.82,1.79,3.41
QNBTR,QNB BANK,714.5,TRY,BIST,-9.96,57397932683.0,USD,58.9,0.0,897.91,182.41,179.92,171.42,96.83,574.57,309.54,396.95,0.89,-0.27,52.69,34.13,10.77,533.75,1.856219593,533.75,1.53,1.86,2.31,3.39
JOBY,"Joby Aviation, Inc.",14.45,USD,NYSE,-1.83,12368932603.0,USD,,0.0,32.57,182.78,91.01,122.31,-10.69,17.14,8.86,13.91,2.52,1.94,1.26,-88.93,-57.05,396.1,1.934274019,396.1,1.4,1.93,1.63,3.33
RKLB,Rocket Lab Corporation,41.53,USD,NASDAQ,2.06,20034623742.0,USD,,0.0,325.95,519.85,60.38,63.92,-9.7,44.31,27.27,40.17,2.18,2.36,3.01,-40.45,-21.18,644.15,1.625153909,644.15,1.64,1.63,1.52,3.27
FNMA,Fannie Mae,10.76,USD,OTC,1.51,12461023341.0,USD,,0.0,393.58,760.8,40.65,2.48,34.0,9.57,6.55,9.43,2.04,0.29,0.72,16.11,,803.93,1.460788543,803.93,1.8,1.46,1.64,3.26
BE,Bloom Energy Corporation,44.83,USD,NYSE,0.72,10490129450.0,USD,9538.3,0.0,157.2,287.8,69.17,149.06,77.12,39.39,23.75,30.36,3.29,1.84,2.92,4.65,5.36,506.03,1.658705426,506.03,1.51,1.66,1.89,3.16
KTOS,"Kratos Defense & Security Solutions, Inc.",64.78,USD,NASDAQ,0.79,10934507156.0,USD,695.06,0.0,240.59,209.36,139.66,85.09,16.04,62.47,36.32,53.56,1.05,1.43,3.6,0.88,1.21,434.11,1.719981443,434.11,1.43,1.72,1.78,3.15
ALAB,"Astera Labs, Inc.",177.53,USD,NASDAQ,2.95,29508884916.0,USD,311.29,0.0,237.77,355.09,99.7,95.11,53.04,158.58,99.48,122.15,1.41,2.55,11.43,10.11,4.2,549.89,1.59405281,549.89,1.55,1.59,1.78,3.14
CRDO,Credo Technology Group Holding Ltd,110.86,USD,NASDAQ,4.59,19028213428.0,USD,397.78,0.0,816.2,246.44,53.65,87.14,18.92,113.26,67.96,100.18,2.59,3.16,6.77,8.54,6.04,387.23,1.666517332,387.23,1.39,1.67,1.63,3.05
PLTR,Palantir Technologies Inc.,156.18,USD,NASDAQ,0.11,370513000000.0,USD,519.04,0.0,1461.8,383.23,45.04,29.2,3.53,168.47,105.77,153.13,2.6,2.38,7.57,15.3,10.68,457.47,1.592816699,457.47,1.46,1.59,1.48,3.05
ZEG,ZEGONA COMMUNICATIONS PLC ORD GBP0.01,1130.0,GBX,LSE,0.89,11403575449.0,USD,,0.0,927.27,221.02,103.46,56.08,42.32,999.67,607.44,848.26,1.72,1.48,40.93,,,380.56,1.645704377,380.56,1.38,1.65,1.86,3.03
NBIS,Nebius Group N.V.,66.18,USD,NASDAQ,-1.91,15772257789.0,USD,,0.0,2.07,176.44,45.51,82.82,26.9,61.55,36.19,54.9,1.12,2.33,4.72,4.95,-10.3,304.77,1.700555287,304.77,1.3,1.7,1.83,3.01
CLS,CELESTICA INC,252.29,CAD,TSX,-0.59,20852016120.0,USD,39.34,0.0,2318.89,242.69,38.56,57.68,14.78,265.04,162.46,229.77,1.68,2.92,13.17,30.86,31.0,338.93,1.631432109,338.93,1.34,1.63,1.55,2.97
FRES,FRESNILLO PLC ORD USD0.50,1677.0,GBX,LSE,0.36,16513622276.0,USD,35.11,1.5,36.9,206.3,116.81,50.54,14.71,1589.05,1012.73,1512.96,0.13,0.82,58.48,12.14,28.62,373.65,1.569077189,373.65,1.37,1.57,1.66,2.94
RBLX,Roblox Corporation,114.85,USD,NYSE,-3.07,79619419191.0,USD,,0.0,78.06,182.33,82.82,42.67,-7.02,124.55,76.5,114.54,1.64,1.08,6.46,-401.21,-31.63,307.82,1.627992265,307.82,1.31,1.63,1.5,2.94
ASELS,ASELSAN,180.5,TRY,BIST,0.11,19715588974.0,USD,47.22,0.06,1979.49,217.5,114.75,32.62,1.23,179.14,115.02,164.21,0.96,0.66,5.36,12.4,18.79,364.88,1.55743478,364.88,1.36,1.56,1.57,2.92
SYM,Symbotic Inc.,43.9,USD,NASDAQ,-1.35,25922656805.0,USD,,0.0,324.15,82.54,67.75,53.34,-10.88,52.79,31.16,46.31,2.07,2.54,3.86,-4.09,-9.0,203.62,1.694167079,203.62,1.2,1.69,1.41,2.9
GEV,GE Vernova Inc.,606.0,USD,NYSE,0.23,164968000000.0,USD,145.01,0.12,426.96,230.3,69.46,31.74,8.5,639.1,413.06,573.21,1.56,1.59,22.76,12.88,5.08,331.5,1.547229383,331.5,1.33,1.55,1.47,2.88
BBD.A,BOMBARDIER INC,164.03,CAD,TSX,0.87,11853326637.0,USD,26.36,0.0,1031.24,85.51,82.54,82.34,-1.73,164.11,104.64,147.02,3.06,1.52,4.31,,14.41,250.39,1.568359188,250.39,1.25,1.57,1.57,2.82
CBK,COMMERZBANK AG,37.41,EUR,XETR,-1.27,49581369168.0,USD,16.23,1.77,709.57,193.18,90.38,41.17,28.12,34.25,23.04,30.79,0.97,0.84,1.13,9.11,0.77,324.73,1.486402973,324.73,1.32,1.49,1.62,2.81
SOFI,"SoFi Technologies, Inc.",23.33,USD,NASDAQ,3.6,27655043579.0,USD,47.06,0.0,112.09,215.27,49.94,82.27,12.22,22.41,15.45,20.02,1.94,2.46,1.23,8.8,,347.47,1.450775317,347.47,1.35,1.45,1.51,2.8
RDDT,"Reddit, Inc.",218.65,USD,NYSE,0.13,40921699628.0,USD,184.56,0.0,365.21,298.41,24.59,128.16,50.38,200.49,148.1,166.41,2.33,2.06,12.32,10.11,6.06,451.17,1.353711201,451.17,1.45,1.35,1.48,2.8
TLN,Talen Energy Corporation,357.86,USD,NASDAQ,-0.62,16348947228.0,USD,102.18,0.0,671.67,161.84,50.13,50.13,15.33,370.99,242.68,322.18,1.59,1.62,14.4,9.95,26.45,262.1,1.528702584,262.1,1.26,1.53,1.47,2.79
ASTS,"AST SpaceMobile, Inc.",44.98,USD,NASDAQ,-0.22,16126143347.0,USD,,0.0,345.35,31.79,42.77,86.25,-19.22,50.34,30.82,48.81,2.32,1.23,3.52,-69.7,-22.68,160.81,1.633623262,160.81,1.16,1.63,1.46,2.79
ENR,SIEMENS ENERGY AG,91.68,EUR,XETR,-1.42,85285003678.0,USD,84.84,0.0,316.54,269.53,52.14,10.89,-0.35,97.21,68.28,94.25,1.83,1.22,3.57,9.61,7.43,332.55,1.423781853,332.55,1.33,1.42,1.34,2.76
LUG,LUNDIN GOLD INC,79.0,CAD,TSX,1.5,13694698376.0,USD,22.29,2.06,583.98,186.13,100.56,23.98,19.99,72.3,50.16,71.18,0.91,1.33,2.86,53.36,70.76,310.67,1.441477569,310.67,1.31,1.44,1.57,2.75
FIX,"Comfort Systems USA, Inc.",694.0,USD,NYSE,1.9,24485327812.0,USD,35.67,0.22,1211.17,110.83,68.63,53.31,27.51,687.64,465.31,593.31,1.49,2.2,24.0,40.09,44.1,232.76,1.477828031,232.76,1.23,1.48,1.49,2.71
CELH,"Celsius Holdings, Inc.",62.07,USD,NASDAQ,0.19,16010716612.0,USD,171.13,0.0,779.18,51.76,81.97,76.79,42.51,51.48,35.0,47.54,1.4,0.51,2.25,7.91,8.72,210.52,1.471120619,210.52,1.21,1.47,1.77,2.68
COOP,Mr. Cooper Group Inc.,183.44,USD,NASDAQ,-1.16,11738605487.0,USD,20.97,0.0,937.53,102.33,65.82,46.9,12.16,178.31,121.74,161.87,0.98,-0.2,8.36,11.76,,215.06,1.464673706,215.06,1.22,1.46,1.51,2.68
