Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perf_sum,perf_norm,MRAT,Diff,score
RGC,Regencell Bioscience Holdings Limited,15.28,USD,NASDAQ,7.3,7555790132.0,USD,,0.0,4738.66,6620.37,12201.69,-26.45,9.14,13.25,6.89,16.5,2.18,-2.46,1.61,-48.45,-49.04,18795.61,19.8,1.92,2.22,21.72
PROCF,"Procaps Group, S.A.",1.22,USD,OTC,4646.09,2799196337.0,USD,,0.0,-87.73,-39.85,1.25,11929.7,10.45,0.88,1.66,0.99,54.63,-23.6,0.77,,,11891.1,12.89,0.53,0.73,13.42
TERA,Tera Yatirim Menkul Degerler AS,692.5,TRY,BIST,-0.36,2558878087.5,USD,5.93,0.0,18786.38,3757.94,1834.36,302.62,90.9,554.7,166.38,448.26,-0.38,1.1,35.08,182.96,,5894.91,6.89,3.33,4.16,10.23
ABVX,Abivax SA,68.6,EUR,EURONEXT,-0.15,6062373782.35,USD,,0.0,266.45,531.68,842.31,1201.71,13.2,62.35,14.2,37.56,1.26,1.88,3.11,,-100.71,2575.69,3.58,4.39,4.83,7.97
SUPX,Super X AI Technology Limited,45.21,USD,NASDAQ,6.38,1002299054.13,USD,,0.0,1030.25,882.83,1066.71,311.0,294.16,32.47,10.12,19.99,-5.1,-1.03,7.18,,,2260.54,3.26,3.21,4.47,6.47
BMNR,"BitMine Immersion Technologies, Inc.",45.57,USD,AMEX,-1.0,7906255878.0,USD,,0.0,34.03,388.95,709.64,279.75,41.08,48.21,16.53,44.03,1.35,13.27,7.57,-95.27,-71.85,1378.34,2.38,2.92,2.76,5.29
CELC,Celcuity Inc.,54.6,USD,NASDAQ,9.29,2316498412.0,USD,,0.0,856.22,226.16,474.74,408.38,56.0,47.99,15.97,29.3,0.68,-0.06,3.07,-134.54,-70.38,1109.28,2.11,3.01,3.42,5.12
TDUP,ThredUp Inc.,11.2,USD,NASDAQ,-2.52,1379401866.0,USD,,0.0,-38.63,1307.92,370.59,55.77,42.13,10.45,4.65,8.83,1.74,3.68,0.61,-58.93,-24.78,1734.28,2.73,2.25,2.41,4.98
QUBT,Quantum Computing Inc.,16.1,USD,NASDAQ,8.71,2574119484.0,USD,,0.0,299.5,2376.92,168.33,33.5,0.19,15.58,11.23,17.04,-0.43,0.61,1.1,-32.63,-13.25,2578.76,3.58,1.39,1.43,4.97
ONDS,Ondas Holdings Inc.,5.7,USD,NASDAQ,12.43,1551895224.0,USD,,0.0,-41.54,552.17,502.03,427.78,183.58,3.78,1.62,2.72,2.13,1.93,0.5,-81.2,-44.5,1481.98,2.48,2.33,3.51,4.81
QBTS,D-Wave Quantum Inc.,15.92,USD,NYSE,4.53,5444932374.0,USD,,0.0,55.32,1524.49,190.51,1.6,-15.41,16.63,10.03,16.6,1.4,1.91,1.17,-83.7,-18.66,1716.6,2.72,1.66,1.59,4.37
RGTI,"Rigetti Computing, Inc.",16.58,USD,NASDAQ,7.73,5374658347.0,USD,,0.0,67.47,1742.22,108.03,32.64,7.24,15.68,10.81,14.45,1.45,2.35,1.25,-48.81,-20.27,1882.89,2.88,1.45,1.53,4.33
MP,MP Materials Corp.,73.5,USD,NYSE,2.94,13016725960.0,USD,,0.0,458.94,484.26,218.04,270.28,13.01,70.45,30.95,56.39,2.3,0.22,4.63,-9.57,-6.69,972.58,1.97,2.28,2.37,4.25
PRCH,"Porch Group, Inc.",16.09,USD,NASDAQ,-1.14,1677686462.0,USD,34.68,0.0,54.73,1074.45,146.02,71.9,21.89,15.07,8.02,13.53,2.71,2.49,0.94,,4.8,1292.38,2.29,1.88,2.01,4.17
EXA,Exail Technologies SA,118.0,EUR,EURONEXT,7.08,2215042745.96,USD,,0.0,1236.34,572.75,326.76,77.71,3.69,114.81,52.96,105.7,0.77,0.06,6.34,-2.9,2.92,977.22,1.98,2.17,2.23,4.15
OKLO,Oklo Inc.,77.89,USD,NYSE,6.41,11497279867.0,USD,,0.0,678.9,1033.77,148.57,57.64,3.72,74.0,40.33,66.62,0.62,2.55,5.88,-11.34,-14.45,1239.98,2.24,1.83,1.93,4.07
OPEN,Opendoor Technologies Inc,4.27,USD,NASDAQ,6.22,3142524260.0,USD,,0.0,-60.65,84.05,218.66,529.14,89.78,3.09,1.47,2.04,2.92,2.11,0.65,-41.33,,831.85,1.83,2.1,2.91,3.93
CDTX,"Cidara Therapeutics, Inc.",65.23,USD,NASDAQ,-0.24,1654105771.0,USD,,0.0,-4.91,412.41,174.65,196.63,3.79,63.69,30.21,56.67,1.19,3.26,3.51,-37.05,-42.05,783.7,1.78,2.11,2.16,3.89
COMM,"CommScope Holding Company, Inc.",15.96,USD,NASDAQ,-1.05,3535550113.0,USD,,0.0,53.17,271.16,157.0,157.84,90.0,14.71,6.52,10.69,2.39,2.92,0.75,,10.18,586.0,1.59,2.26,2.45,3.84
SSII,SS Innovations International Inc.,7.0,USD,NASDAQ,-3.05,1355118866.0,USD,,0.0,-70.21,1844.44,-27.84,20.48,0.0,6.72,6.85,6.45,-69.69,13.09,0.78,-39.11,-30.8,1837.09,2.84,0.98,1.02,3.82
VSAT,"ViaSat, Inc.",32.53,USD,NASDAQ,0.09,4367570775.0,USD,,0.0,-19.22,100.68,273.05,255.52,117.01,25.98,11.94,19.51,1.2,0.99,1.65,-12.48,0.41,629.25,1.63,2.18,2.72,3.81
