Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
RGC,Regencell Bioscience Holdings Limited,15.97,USD,NASDAQ,-0.32,7896394438.03,USD,,0.0,4956.78,12949.77,2004.8,6.25,6.46,17.05,10.01,15.2,2.04,-2.44,1.35,,,14960.81,15.96,1.7,1.6,17.66
HEDEF,Hedef Holding AS,87.3,TRY,BIST,-10.0,4443784798.4,USD,,0.0,25277.91,2771.71,854.1,783.6,98.59,69.78,16.57,42.81,0.56,0.64,6.55,-26.28,,4409.41,5.41,4.21,5.27,9.62
TEHOL,Tera Yatirim Teknoloji Holding A.S.,40.14,TRY,BIST,0.35,1876089567.88,USD,53.17,0.0,25823.37,4218.34,434.32,403.35,102.94,27.55,10.78,20.76,-0.16,-0.22,2.05,52.73,,5056.0,6.06,2.56,3.72,8.61
TERA,Tera Yatirim Menkul Degerler AS,943.5,TRY,BIST,4.02,3357033750.0,USD,8.08,0.0,25631.84,3805.22,936.81,137.06,48.58,798.95,305.46,710.11,-0.25,1.16,39.13,182.96,,4879.09,5.88,2.62,3.09,8.49
RGTI,"Rigetti Computing, Inc.",40.68,USD,NASDAQ,2.74,13187039161.68,USD,,0.0,310.91,3029.23,340.74,155.21,24.48,41.77,15.75,28.6,1.61,2.33,5.08,-48.81,-20.27,3525.17,4.53,2.65,2.58,7.18
QBTS,D-Wave Quantum Inc.,34.09,USD,NYSE,9.76,11659405813.82,USD,,0.0,232.59,2627.2,363.81,73.05,19.87,33.51,14.43,24.74,1.48,2.05,4.32,-83.7,-18.66,3064.06,4.06,2.32,2.36,6.39
PEKGY,Peker Gayrimenkul Yatirim Ortakligi AS,11.29,TRY,BIST,0.8,1315999977.58,USD,406.12,0.0,2189.04,1235.65,904.01,197.89,53.61,9.86,3.52,8.61,1.14,0.6,0.59,2.56,,2337.55,3.34,2.81,3.21,6.14
SUPX,SuperX AI Technology Limited,61.59,USD,NASDAQ,3.27,1656374485.98,USD,,0.0,1439.75,1112.4,441.69,469.44,8.39,63.52,21.08,55.69,-4.77,-0.7,7.55,,,2023.53,3.02,3.01,2.92,6.04
UAMY,United States Antimony Corporation,11.77,USD,AMEX,0.31,1634137659.61,USD,,0.0,3495.07,1707.48,217.16,233.33,49.51,10.72,3.73,7.43,-0.1,1.68,1.81,-3.27,-5.17,2157.97,3.16,2.87,3.15,6.03
ONDS,Ondas Holdings Inc.,7.7,USD,NASDAQ,9.14,2690346936.55,USD,,0.0,-35.79,806.47,875.32,263.44,-3.57,8.83,2.88,6.98,2.17,1.85,1.0,-81.2,-44.5,1945.23,2.95,3.06,2.67,6.01
IREN,IREN Limited,61.84,USD,NASDAQ,10.71,16768541271.54,USD,102.11,0.0,120.88,600.4,870.88,243.2,42.55,56.7,18.27,41.17,4.2,2.38,6.19,11.55,1.04,1714.48,2.71,3.1,3.39,5.82
ABVX,Abivax SA,79.4,EUR,EURONEXT,0.13,7167905674.88,USD,,0.0,312.25,756.53,1197.39,39.79,12.94,76.77,27.55,72.28,1.29,1.36,3.58,,,1993.7,2.99,2.79,2.88,5.78
MVST,"Microvast Holdings, Inc.",5.78,USD,NASDAQ,4.43,1878920148.89,USD,,0.0,-43.22,2687.16,166.13,71.88,39.83,5.0,2.85,3.84,3.23,-2.38,0.49,-33.65,8.16,2925.17,3.93,1.75,2.03,5.68
BETR,Better Home & Finance Holding Company,84.5,USD,NASDAQ,-1.82,1302868702.69,USD,,0.0,-82.68,465.22,496.33,485.99,27.07,62.55,19.91,42.48,1.93,0.83,9.91,-286.59,,1447.54,2.45,3.14,4.24,5.59
QURE,uniQure N.V.,61.8,USD,NASDAQ,4.16,3807113178.6,USD,,0.0,45.65,856.66,336.75,308.19,57.01,59.16,19.18,35.43,0.56,0.81,4.2,-427.47,-30.14,1501.6,2.5,3.08,3.22,5.59
OPEN,Opendoor Technologies Inc,8.12,USD,NASDAQ,15.5,5975947978.1,USD,,0.0,-58.61,364.0,949.77,218.43,6.84,7.85,2.65,7.01,3.6,2.13,0.84,-41.33,,1532.21,2.53,2.97,3.07,5.5
BMNR,"BitMine Immersion Technologies, Inc.",50.76,USD,AMEX,3.19,14453718550.16,USD,,0.0,86.62,1720.69,559.23,23.12,-8.21,53.97,25.59,51.81,1.54,15.08,4.35,-95.27,-71.85,2303.03,3.3,2.11,1.98,5.41
BE,Bloom Energy Corporation,107.08,USD,NYSE,5.58,25056759635.35,USD,22783.21,0.0,569.26,1066.46,489.98,219.17,54.56,95.93,36.46,75.09,3.48,2.14,9.82,4.65,5.36,1775.61,2.78,2.63,2.94,5.41
CRML,Critical Metals Corp.,15.58,USD,NASDAQ,14.22,1833834465.19,USD,,0.0,59.79,145.74,824.63,270.07,127.45,14.37,4.85,9.69,1.2,0.23,3.31,-128.3,-87.53,1240.44,2.24,2.96,3.21,5.2
SMRVA,Sumer Varlik Yonetim A.S.,372.5,TRY,BIST,2.9,1003826000.0,USD,,,1439.26,1439.26,296.49,110.57,36.7,315.33,149.53,275.95,-7.46,0.1,21.19,,,1846.31,2.85,2.11,2.49,4.96
NEGG,"Newegg Commerce, Inc.",60.68,USD,NASDAQ,28.09,1176876571.28,USD,,0.0,-9.75,414.19,1467.83,93.85,36.35,47.71,24.86,53.79,3.46,1.93,6.5,,,1975.87,2.98,1.92,2.44,4.9
CIFR,Cipher Mining Inc.,20.22,USD,NASDAQ,17.18,7952203421.48,USD,,0.0,106.33,283.68,569.53,208.7,36.57,16.8,6.25,12.31,2.89,3.75,2.09,-21.39,-18.16,1061.91,2.06,2.69,3.23,4.75
APLD,Applied Digital Corporation,34.94,USD,NASDAQ,4.66,9770826620.32,USD,,0.0,38724.43,298.8,665.28,206.45,40.02,30.3,12.05,22.91,6.6,3.02,3.21,-32.13,-7.75,1170.53,2.17,2.52,2.9,4.69
ORBS,Eightco Holdings Inc.,6.44,USD,NASDAQ,-2.16,1168299780.44,USD,,0.0,-99.81,221.89,462.35,236.18,-51.56,9.03,3.33,9.23,2.9,5.79,2.07,-87.24,-30.11,920.42,1.92,2.71,1.93,4.63
CELC,Celcuity Inc.,71.56,USD,NASDAQ,1.41,3036267633.29,USD,,0.0,1263.14,353.8,552.97,408.64,36.47,54.08,24.23,53.69,0.71,-0.01,5.27,-134.54,-70.38,1315.41,2.32,2.23,2.95,4.55
OKLO,Oklo Inc.,136.3,USD,NYSE,9.3,20119132363.09,USD,,0.0,1263.0,617.75,475.35,90.07,-4.65,139.3,59.54,108.64,0.71,2.52,15.98,-11.34,-14.45,1183.17,2.18,2.34,2.29,4.52
AMPX,"Amprius Technologies, Inc.",12.73,USD,NYSE,9.18,1592215373.98,USD,,0.0,41.29,716.03,413.31,53.74,6.97,12.36,5.34,10.06,2.87,2.22,1.32,-68.88,-43.88,1183.08,2.18,2.31,2.38,4.5
CDTX,"Cidara Therapeutics, Inc.",96.01,USD,NASDAQ,-0.16,2434626598.16,USD,,0.0,60.02,741.93,349.27,52.61,24.04,101.45,43.24,81.59,1.34,3.3,6.17,-37.05,-42.05,1143.82,2.14,2.35,2.22,4.49
BITF,Bitfarms Ltd.,6.4,CAD,TSX,9.97,2297281575.43,USD,,0.0,1500.0,131.88,344.44,287.88,75.34,5.58,2.13,3.8,4.43,2.79,0.78,-15.48,-17.17,764.21,1.76,2.62,3.01,4.39
KLRHO,KILER HOLDING A.S.,145.2,TRY,BIST,-1.96,5655568983.07,USD,222.77,0.0,4998.31,472.1,437.38,122.7,25.71,135.17,57.61,101.91,0.03,0.69,10.62,4.56,9.9,1032.18,2.03,2.35,2.52,4.38
NKTR,Nektar Therapeutics,60.98,USD,NASDAQ,-4.17,1159813359.79,USD,,0.0,-76.55,186.31,439.7,148.4,1.94,58.65,22.95,48.17,1.2,4.81,4.26,-440.8,-65.91,774.41,1.77,2.56,2.66,4.33
RR,Richtech Robotics Inc.,5.93,USD,NASDAQ,9.32,1175206824.1,USD,,0.0,18.51,840.52,169.33,189.04,16.87,5.7,2.69,4.26,-4.18,2.31,0.69,-26.25,-28.11,1198.89,2.2,2.12,2.2,4.31
NBIS,Nebius Group N.V.,113.78,USD,NASDAQ,7.18,28574427643.8,USD,,0.0,94.16,577.26,363.09,116.64,4.26,118.3,52.91,96.94,1.19,2.71,9.12,4.95,-10.3,1056.99,2.06,2.24,2.15,4.29
NVTS,Navitas Semiconductor Corporation,14.5,USD,NASDAQ,6.58,3091121084.89,USD,,0.0,30.68,482.53,614.53,63.44,110.22,10.76,5.14,8.13,3.02,0.68,1.47,-32.05,-26.85,1160.5,2.16,2.09,2.82,4.25
