Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
RGC,Regencell Bioscience Holdings Limited,12.1,USD,NASDAQ,4.94,5983315449.68,USD,,0.0,3733.25,7566.5,-29.23,-12.98,-26.55,12.96,11.69,15.13,2.05,-1.98,1.18,-54.81,-56.54,7524.29,8.52,1.11,1.04,9.63
SWRD,"Stewards, Inc",5.89,USD,OTC,17.8,1062115849.72,USD,,0.0,1863.33,2137.42,336.3,292.67,35.4,4.96,1.63,4.33,2.26,-1.44,0.63,-2077.92,,2766.38,3.77,3.05,3.62,6.81
ABVX,Abivax SA,107.0,EUR,EURONEXT,-0.93,9757456308.22,USD,,0.0,357.26,1287.81,1509.02,58.52,17.71,97.43,39.12,85.97,1.54,0.93,5.49,,,2855.35,3.86,2.49,2.74,6.35
CDTX,"Cidara Therapeutics, Inc.",219.76,USD,NASDAQ,-0.05,6909116348.38,USD,,0.0,359.75,987.38,826.09,237.11,101.84,164.26,59.95,126.36,1.46,3.21,7.14,-68.7,-59.14,2050.57,3.05,2.74,3.67,5.79
TERN,"Terns Pharmaceuticals, Inc.",27.38,USD,NASDAQ,-2.6,2466384445.75,USD,,0.0,61.53,330.5,686.78,293.96,238.86,22.49,6.82,14.11,-0.24,1.08,1.64,-29.12,-33.22,1311.24,2.31,3.3,4.02,5.61
SNDK,Sandisk Corporation,211.03,USD,NASDAQ,-5.49,30927116748.03,USD,,0.0,501.91,501.91,446.14,313.7,3.7,230.23,78.66,175.91,4.73,2.31,24.9,,,1261.76,2.26,2.93,2.68,5.19
CELC,Celcuity Inc.,100.49,USD,NASDAQ,-0.64,4649798819.63,USD,,0.0,983.53,680.2,739.52,98.24,27.15,87.62,33.48,69.82,0.22,-0.07,4.98,-122.04,-46.62,1517.96,2.52,2.62,3.0,5.14
INBX,"Inhibrx Biosciences, Inc.",82.48,USD,NASDAQ,-1.95,1199534128.71,USD,,0.0,200.9,425.84,508.24,195.83,5.75,80.37,27.08,56.66,1.19,0.71,6.11,-144.07,-96.28,1129.91,2.13,2.97,3.05,5.1
NEGG,"Newegg Commerce, Inc.",73.6,USD,NASDAQ,-3.0,1427575021.57,USD,,0.0,-18.4,523.62,1099.67,96.4,-8.06,77.89,33.37,62.04,3.98,2.25,8.62,,,1719.69,2.72,2.33,2.21,5.05
COGT,"Cogent Biosciences, Inc.",39.26,USD,NASDAQ,-2.39,5969638457.69,USD,,0.0,248.98,311.96,582.78,228.54,141.15,30.0,11.52,21.42,0.51,1.23,2.29,-95.4,-88.56,1123.28,2.12,2.61,3.41,4.73
