Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months"
RGC,Regencell Bioscience Holdings Limited,13.14,USD,NASDAQ,-3.947368421052625,6497584180.578948,USD,,0,4060.9983356006655,7838.311705964935,16.12088378420463,2.0979020979021086,-22.705882352941174,15.270476190476177,11.020711855550001,15.585999999999997,1.9891182,-1.7694801,1.2421623378620457,-54.8087835337339,-56.536169570836414
DGNX,Diginex Limited,13.12,USD,NASDAQ,-6.285714285714292,2649585361.668571,USD,,0,2363.8497652582155,2363.8497652582155,10.484210526315783,92.55182535314621,-43.95557454079453,16.55380952380952,10.200149999999999,16.188525000000006,-5.3667164,-0.59909207,3.0461545178691796,,
RGTI,"Rigetti Computing, Inc.",25.54,USD,NASDAQ,-9.75265017667845,8428865396.417667,USD,,0,157.97979797979795,1591.3907284768209,111.95020746887964,43.52346164652991,-53.43240040113046,37.79547619047618,17.459375000000005,34.27269999999999,1.6497324,2.295733,4.160924996171359,-141.899956333996,-21.35572551462694
QBTS,D-Wave Quantum Inc.,23.7102,USD,NYSE,-10.188636363636357,8301458242.74507,USD,,0,131.3190243902439,1410.2038216560509,109.45406360424028,33.503378378378365,-41.48519249753208,31.955247619047615,16.20635099999999,29.04340399999999,1.5220921,1.4206269,3.710536872991618,-122.028520330029,-19.624044666148002
UAMY,United States Antimony Corporation,7.475,USD,AMEX,-1.9028871391076174,1038116044.9048554,USD,,0,1958.6615257504818,1125.4098360655737,193.1372549019608,80.55555555555556,-61.666666666666664,9.358333333333334,4.166525,8.365699999999999,-0.014946913,1.6082163,1.3102578111198167,-3.26770523287781,-5.172379453230523
SUPX,SuperX AI Technology Limited,47.74,USD,NASDAQ,-2.2722620266120765,1283898624.7639713,USD,,0,1093.5,858.6345381526105,322.4778761061947,51.555555555555564,-25.406249999999996,55.82190476190475,24.634624,58.4582,-4.8488116,-0.60047567,5.790033691531329,-158.35595832166,
ABVX,Abivax SA,89.4,EUR,EURONEXT,-1.5418502202643078,8191769768.13294,USD,,0,348.34501262061127,816.923076923077,1599.6197718631179,49.498327759197345,8.495145631067961,84.54285714285714,33.2388,78.20599999999999,1.256151,1.2339056,4.30360574716327,,
ONDS,Ondas Holdings Inc.,6.7287,USD,NASDAQ,22.117967332123413,2473798402.4045014,USD,,0,-43.9275,795.8460923978165,685.5124912444547,75.68407310704961,-35.17630057803469,6.615176190476189,3.1681964999999996,7.3971740000000015,2.1593752,1.8764544,0.8717256373610015,-81.2030369762642,-44.50217313254744
AII,Almonty Industries Inc.,9.7,CAD,TSX,-0.6147540983606609,1513107529.5232003,USD,,0,926.4550264550264,708.3333333333334,159.7054886211513,56.45161290322579,-25.72741194486984,10.138571428571424,5.473025000000003,9.017599999999998,1.3623813,1.6490487,0.8594001334198964,-57.7516936426603,-7.341817954027398
YRM,Rosetti Marino S.p.A.,362,EUR,MIL,-3.723404255319149,1656236363.1347601,USD,40.94420503772069,0.531914893617021,928.4090616929244,693.8596491228069,624,178.46153846153845,20.666666666666668,288.4285714285714,119.32,245.60000000000002,0.22569525,0.68484026,15.429175039483237,24.4132308273627,21.930479169249704
MVST,"Microvast Holdings, Inc.",3.78,USD,NASDAQ,-6.086956521739144,1240531129.5652173,USD,,0,-63.15789473684211,684.8837209302326,12.83582089552238,32.16783216783217,-26.315789473684212,5.2454761904761895,3.052825000000001,4.4883000000000015,5.5407934,-0.0007326642,0.45889702661612525,-35.8197109689647,8.815137001666312
CDTX,"Cidara Therapeutics, Inc.",104.33,USD,NASDAQ,-2.604555638536227,3280069672.345033,USD,,0,108.66,683.8467317806161,384.80483271375465,63.62923462986198,-9.199303742384688,102.43904761904763,49.03110000000001,92.47650000000003,1.3204377,3.5554545,6.243406528575842,-68.6967140443518,-59.13724591024827
DSV,Discovery Silver Corp,6.81,CAD,TSX,1.1887072808320829,3853450692.5824,USD,,0,256.544502617801,682.7586206896552,177.95918367346934,72.40506329113923,24.95412844036696,5.556666666666664,3.351099999999999,5.225000000000001,2.206466,1.253298,0.42271671647591785,-3.65215344287538,3.732460156174061
BE,Bloom Energy Corporation,103.835,USD,NYSE,-18.059501262626267,24558094735.756943,USD,,0,464.32065217391306,657.3668854850474,419.175,125.18976360876164,-3.4811303216211233,121.11833333333341,43.77997499999999,97.31110000000001,3.4390676,1.8099616,13.394519705449413,2.81712228808853,6.069301413212183
SNDK,Sandisk Corporation,247.86,USD,NASDAQ,-12.447898269162842,36324671204.43073,USD,,0,606.9594980034227,606.9594980034227,511.69792694965446,475.61542034370643,100.55020632737278,198.53285714285715,,144.53009999999998,4.619338,2.152212,20.287449471269465,,
QUBT,Quantum Computing Inc.,10.125,USD,NASDAQ,-9.11131059245961,1892083169.064183,USD,,0,190.94827586206895,603.125,-3.8461538461538405,-32.00134318334453,-52.26308345120226,14.74833333333333,13.201474999999993,17.439600000000002,3.8164887,1.4004155,1.5666928194976906,-32.6312732738888,-13.251503511896825
EOSE,"Eos Energy Enterprises, Inc.",15.37,USD,NASDAQ,-11.001737116386801,4430287698.470758,USD,,0,46.38095238095237,551.271186440678,116.02248770203794,142.0472440944882,-7.465382299819388,15.755714285714284,7.128449999999999,13.054200000000003,2.3280876,1.3304492,1.9097692270651383,,-121.52997533881846
BMNR,"BitMine Immersion Technologies, Inc.",37.57,USD,AMEX,-7.394626571358147,10697768489.742174,USD,,0,-6.074999999999999,526.1666666666666,836.9077306733168,-38.40983606557377,-28.696147276523057,45.79238095238096,28.066791900000013,50.35420000000001,1.409495,15.981294,3.783648634466016,-95.2665123950173,-71.84551974895065
4IG,4iG Nyrt.,4920,HUF,BET,0.9230769230769231,4351260036.118793,USD,,0,821.3483146067416,505.1660516605166,176.0942760942761,153.3470648815654,62.37623762376238,4125.952380952382,2108.265000000004,3226.3,0.7363621,0.70733553,264.71990991452884,-50.8730663530428,6.402894643286322
NEGG,"Newegg Commerce, Inc.",78,USD,NASDAQ,-14.995640802092419,1512919270.553618,USD,,0,1.5625000000000038,501.4805675508945,958.3446404341927,-33.26488706365503,62.5,71.43666666666667,29.99979999999998,56.03900000000001,3.6748734,2.2348595,9.602417963883964,,
